Organisation;Location;Detail;Rocket_Status;Mission_Status;Propellant;Thrust;Payload_to_LEO;Dry_Mass;Size
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.0 | Flight 1;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Astra 3B  & COMSATBw-2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Progress M-05M;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 501 | OTV-1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz TMA-18;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | SDO;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz U | Soyuz-U;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 GS | Helios 2B;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 431 | Intersat 14;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | NSS-12 & Thor-6;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | DMSP-5D3-F18;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Amazonas 2 & COMSATBw-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | PAN;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | JCSAT-12 & Optus D3;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | TerreStar-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | LRO/LCROSS;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Herschel Space Observatory & Planck;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | WGS-2;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Hot Bird 10, NSS-9, Spirale-A & B;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Hot Bird 9 & Eutelsat W2M;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Shiyan-3 & Chuangxin-1(02);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Shiyan-3 & Chuangxin-1(02);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | VENESAT 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Shijian-6E & F;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F/G | Shenzhou 7;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C/SMA | Huanjing-1A & 1B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Superbird-7 & AMC-21;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | ProtoStar-1 & Badr-6;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Skynet 5C & Turksat 3A;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | ChinaSat 9;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4C | Fengyun-3A;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3C | Tianlian I-01;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Star One C2 & Vinasat-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | ICO G1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 411 | NROL-28;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Jules Verne ATV;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 GS | Rascom-QAF1 & Horizons-2;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | NROL-24;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Skynet 5B & Star One C1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4C | Yaogan 3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B | Chang'e 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | WSG-1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 GS | Intelsat 11 & Optus D2;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | CBERS-2B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Spaceway-3 & BSat-3A;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | Chinasat-6B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | NROL-30 & NOSS-3;StatusActive;Partial Failure;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | SinoSat 3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Yaogan 2 & ZDPS-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B/E | NIGCOMSAT-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Astra 1L & Galaxy 17;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Compass-M1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Haiyang-1B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Skynet 5A & INSAT-4B;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | STP-1, FalconSat-3;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Beidou-1D;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | WildBlue-1 & AMC-18;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Fengyun-2D;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | SinoSat 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | Shijian-6C & 6D;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | DirecTV-9S, Optus D1, LDREX-2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Chinasat-22A;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2C | Shijian-8;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | JCSAT-10 & Syracuse 3B;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Satmex-6 & Thaicom-5;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4C | Yaogan 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 411 | Astra 1KR;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Spainsat & Hot Bird 7A;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | New Horizons;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 GS | INSAT-4A & MSG-2;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Spaceway-2 & Telkom-2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F | Shenzhou 6;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 GS | Syracuse 3A & Galaxy 15;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | FSW-3 No. 3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | Mars Reconnaissance Orbiter;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 GS | iPStar-1;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-4 No. 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Shijian-7;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | Apstar 6;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 431 | Inmarsat-4 F1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | XTAR-EUR, Maqsat-B2, Sloshsat-FLEVO;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G+ | Helios 2A, Essaim-1,2,3,4, PARASOL, Nanosat 01;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 521 | AMC-16;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Shiyan-2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1a | Demo Flight;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | Ziyuan ll-03;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Fengyun-2C;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | FSW-3 No.2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | Shijian-6A & 6B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2C | FSW-4 No.1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Double Star 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G+ | Anik F2;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Shiyan-1 & Nano Satellite 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G+ | Rosetta & Philae;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 2C | Double Star 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Chinasat-20;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | FSW-3 No.1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | CBERS-2 & Chuangxin 1(01);StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F | Shenzhou 5;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Insat 3E, eBird-1, SMART-1;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 521 | Rainbow 1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Optus C1 & BSAT-2c;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Starsem;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz FG/Fregat | Mars Express;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Beidou-1C;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | HellasSat-2;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | INSAT-3A & Galaxy 12;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F | Shenzhou 4;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Hot Bird 7, Stentor, MFD-A, MFD-B;StatusActive;Failure;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | Ziyuan ll-02;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Atlantic Bird 1, MSG-1, MFD;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ILS;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | Hot Bird 6;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Stellat-5 & NStar-C;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | Fengyun-1D & Haiyang-1A;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F | Shenzhou 3;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Envisat;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Artemis & BSAT-2b;StatusRetired;Partial Failure;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Eurobird-1 & BSat-2a;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F | Shenzhou 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Beidou-1B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Astra 2D, GE-8, LDREX;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | PanAmSat-1R, Amsat-P3D, STRV 1C, STRV 1D;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | Beidou-1A;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | Astra 2B & GE-7;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3 | Fengyun-2B;StatusRetired;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | INSAT-3B & AsiaStar;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | ChinaSat-22;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | XMM-Newton;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F | Shenzhou 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | CBERS-1 & SACI 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Iridium 92 & 93;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 4B | Fengyun 1C & Shijian-5;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Iridium 88 & 89;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ESA;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | MaqSat 3 & ARD;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Iridium 76 & 78;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | SinoSat 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | ChinaStar 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Iridium 69 & 71;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Iridium 51 & 61;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Iridium 42 & 44;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ESA;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 G | MaqSat-H, TEAMSAT, MaqSat-B, YES;StatusRetired;Partial Failure;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | Apstar 2R;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-7, Taiyuan Satellite Launch Center, China;Long March 2C | Iridium mass simulator A&B;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3B | Agila-2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
